feature_name,condition_hint,explanation,response_guide
mean_forward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_forward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_forward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_forward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
median_forward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
std_backward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
mean_backward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_backward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_backward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_backward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
median_backward_packet_length_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
flow_duration_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
flow_duration_of_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
flow_duration_of_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
mean_Interval_of_arrival_time_of_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
median_Interval_of_arrival_time_of_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_Interval_of_arrival_time_of_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_Interval_of_arrival_time_of_forward_traffic_ratio,If the value is 0 or very small,Very short inter-packet times may indicate automated or scripted traffic.,Consider applying detection rules for bots or automated tools.
std_Interval_of_arrival_time_of_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_Interval_of_arrival_time_of_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
mean_Interval_of_arrival_time_of_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
median_Interval_of_arrival_time_of_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_Interval_of_arrival_time_of_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_Interval_of_arrival_time_of_backward_traffic_ratio,If the value is 0 or very small,Very short inter-packet times may indicate automated or scripted traffic.,Consider applying detection rules for bots or automated tools.
std_Interval_of_arrival_time_of_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_Interval_of_arrival_time_of_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
total_ttl_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
std_ttl_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
mean_ttl_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_ttl_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_ttl_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_ttl_forward_traffic_ratio,If the value is high,High TTL variance may indicate routing evasion or proxy use.,Enable detection rules based on TTL anomalies.
median_ttl_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
total_ttl_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
std_ttl_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
mean_ttl_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_ttl_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_ttl_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_ttl_backward_traffic_ratio,If the value is high,High TTL variance may indicate routing evasion or proxy use.,Enable detection rules based on TTL anomalies.
median_ttl_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
total_TCP_windows_size_value_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
std_TCP_windows_size_value_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
mean_TCP_windows_size_value_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_TCP_windows_size_value_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_TCP_windows_size_value_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_TCP_windows_size_value_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
median_TCP_windows_size_value_forward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
total_TCP_windows_size_valuel_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
std_TCP_windows_size_value_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
mean_TCP_windows_size_value_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_TCP_windows_size_value_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_TCP_windows_size_value_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
var_TCP_windows_size_value_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
median_TCP_windows_size_value_backward_traffic_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_length_of_IP_packet_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
max_length_of_IP_packet_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
min_length_of_IP_packet_ratio,If the value is small,A high ratio of short IP packets may indicate C2 (command/control) traffic.,"Consider filtering sessions with short, repetitive packets."
var_length_of_IP_packet_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
std_length_of_IP_packet_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
meidan_length_of_IP_packet_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_Time_to_live_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_length_of_forward_payload_ratio,If the value is large,Abnormally large payloads may indicate data exfiltration or tunneling.,Monitor sessions with high payload volume.
Total_length_of_backward_payload_ratio,If the value is large,Abnormally large payloads may indicate data exfiltration or tunneling.,Monitor sessions with high payload volume.
Total_length_of_forward_IP_header_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_length_of_backward_IP_header_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_length_of_forward_TCP_header_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_length_of_backward_TCP_header_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
enc_ratio_of_forward_packets,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
enc_ratio_of_backward_packets,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_length_of_forward_TCP_segment_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
Total_length_of_backward_TCP_segment_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
total_payload_per_session_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
IPratio_ratio,If the value is between 0.3 and 0.6,Suspicious traffic ratios may imply focused attacks or scanning activity.,Analyze concentrated traffic by IP or port.
